country,index,value
Samoa,WMG.new,51.7
Qatar,WMG.new,60.2
Zimbabwe,WMG.new,11.0
Central African Republic,WMG.new,0.0
Dem. Rep. Congo,WMG.new,3.5
Guyana,WMG.new,44.2
Maldives,WMG.new,9.6
Uganda,WMG.new,4.9
Timor-Leste,WMG.new,0.0
Sudan,WMG.new,53.8
Laos,WMG.new,18.7
Zambia,WMG.new,0.0
Kenya,WMG.new,5.5
Ethiopia,WMG.new,0.0
Fiji,WMG.new,40.0
Mozambique,WMG.new,0.7
Eswatini,WMG.new,0.0
Rwanda,WMG.new,0.0
Cambodia,WMG.new,0.0
Cameroon,WMG.new,10.2
Viet Nam,WMG.new,22.8
Pakistan,WMG.new,31.1
Micronesia,WMG.new,0.0
Cabo Verde,WMG.new,0.0
Nepal,WMG.new,30.5
Papua New Guinea,WMG.new,43.9
Mongolia,WMG.new,0.0
Comoros,WMG.new,0.0
Guatemala,WMG.new,16.6
Tanzania,WMG.new,0.0
Nigeria,WMG.new,7.7
Niger,WMG.new,1.0
Marshall Islands,WMG.new,22.1
Republic of Congo,WMG.new,0.0
Senegal,WMG.new,0.9
Eritrea,WMG.new,0.0
Benin,WMG.new,5.8
Angola,WMG.new,0.0
